INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
ERROR: TFCPlus.zs:174: Could not resolve <liquid : oil>
ERROR: Error parsing TFCPlus.zs:175 -- ; expected
<bark:item.BambooBarkBasket>, Bamboo Bark Basket
<minecraft:golden_rail>, Powered Rail
<minecraft:golden_shovel>, Golden Shovel
<minecraft:golden_sword>, Golden Sword
<minecraft:grass>, Grass Block
<minecraft:gravel>, Gravel
<minecraft:gunpowder>, Gunpowder
<minecraft:hardened_clay>, Hardened Clay
<minecraft:hay_block>, Hay Bale
<minecraft:heavy_weighted_pressure_plate>, Weighted Pressure Plate (Heavy)
<minecraft:hopper>, Hopper
<minecraft:hopper_minecart>, Minecart with Hopper
<minecraft:ice>, Ice
<minecraft:iron_axe>, Iron Axe
<minecraft:iron_bars>, Iron Bars
<minecraft:iron_block>, Block of Iron
<minecraft:iron_boots>, Iron Boots
<minecraft:iron_chestplate>, Iron Chestplate
<minecraft:iron_door>, Iron Door
<minecraft:iron_helmet>, Iron Helmet
<minecraft:iron_hoe>, Iron Hoe
<minecraft:iron_horse_armor>, Iron Horse Armor
<minecraft:iron_ingot>, Iron Ingot
<minecraft:iron_leggings>, Iron Leggings
<minecraft:iron_ore>, Iron Ore
<minecraft:iron_pickaxe>, Iron Pickaxe
<minecraft:iron_shovel>, Iron Shovel
<minecraft:iron_sword>, Iron Sword
<minecraft:item_frame>, Item Frame
<minecraft:jukebox>, Jukebox
<minecraft:jungle_stairs>, Jungle Wood Stairs
<minecraft:ladder>, Ladder
<minecraft:lapis_block>, Lapis Lazuli Block
<minecraft:lapis_ore>, Lapis Lazuli Ore
<minecraft:lava>, Lava
<minecraft:lava_bucket>, Lava Bucket
<minecraft:lead>, Lead
<minecraft:leather>, Leather
<minecraft:leather_boots>, Leather Boots
<minecraft:leather_chestplate>, Leather Tunic
<minecraft:leather_helmet>, Leather Cap
<minecraft:leather_leggings>, Leather Chaps
<minecraft:leaves>, Oak Leaves
<minecraft:leaves2>, Acacia Leaves
<minecraft:lever>, Lever
<minecraft:light_weighted_pressure_plate>, Weighted Pressure Plate (Light)
<minecraft:lit_furnace>, Furnace
<minecraft:lit_pumpkin>, Jack o'Lantern
<minecraft:log>, Oak Wood
<minecraft:log2>, Acacia Wood
<minecraft:magma_cream>, Magma Cream
<minecraft:map>, Empty Map
<minecraft:melon>, Melon
<minecraft:melon_block>, Melon
<minecraft:melon_seeds>, Melon Seeds
<minecraft:milk_bucket>, Milk
<minecraft:minecart>, Minecart
<minecraft:mob_spawner>, Monster Spawner
<minecraft:monster_egg>, Stone Monster Egg
<minecraft:mossy_cobblestone>, Moss Stone
<minecraft:mushroom_stew>, Mushroom Stew
<minecraft:mycelium>, Mycelium
<minecraft:name_tag>, Name Tag
<minecraft:nether_brick>, Nether Brick
<minecraft:nether_brick_fence>, Nether Brick Fence
<minecraft:nether_brick_stairs>, Nether Brick Stairs
<minecraft:nether_star>, Nether Star
<minecraft:nether_wart>, Nether Wart
<minecraft:netherbrick>, Nether Brick
<minecraft:netherrack>, Netherrack
<minecraft:noteblock>, Note Block
<minecraft:oak_stairs>, Oak Wood Stairs
<minecraft:obsidian>, Obsidian
<minecraft:packed_ice>, Packed Ice
<minecraft:painting>, Painting
<minecraft:paper>, Paper
<minecraft:piston>, Piston
<minecraft:planks>, Oak Wood Planks
<minecraft:poisonous_potato>, Poisonous Potato
<minecraft:porkchop>, Raw Porkchop
<minecraft:portal>, Portal
<minecraft:potato>, Potato
<minecraft:potatoes>, Potatoes
<minecraft:potion>, Water Bottle
<minecraft:pumpkin>, Pumpkin
<minecraft:pumpkin_pie>, Pumpkin Pie
<minecraft:pumpkin_seeds>, Pumpkin Seeds
<minecraft:quartz>, Nether Quartz
<minecraft:quartz_block>, Block of Quartz
<minecraft:quartz_ore>, Nether Quartz Ore
<minecraft:quartz_stairs>, Quartz Stairs
<minecraft:rail>, Rail
<minecraft:record_11>, Music Disc
<minecraft:record_13>, Music Disc
<minecraft:record_blocks>, Music Disc
<minecraft:record_cat>, Music Disc
<minecraft:record_chirp>, Music Disc
<minecraft:record_far>, Music Disc
<minecraft:record_mall>, Music Disc
<minecraft:record_mellohi>, Music Disc
<minecraft:record_stal>, Music Disc
<minecraft:record_strad>, Music Disc
<minecraft:record_wait>, Music Disc
<minecraft:record_ward>, Music Disc
<minecraft:red_flower>, Poppy
<minecraft:red_mushroom>, Mushroom
<minecraft:red_mushroom_block>, Mushroom
<minecraft:redstone>, Redstone
<minecraft:redstone_block>, Block of Redstone
<minecraft:redstone_lamp>, Redstone Lamp
<minecraft:redstone_ore>, Redstone Ore
<minecraft:redstone_torch>, Redstone Torch
<minecraft:reeds>, Sugar Canes
<minecraft:repeater>, Redstone Repeater
<minecraft:rotten_flesh>, Rotten Flesh
<minecraft:saddle>, Saddle
<minecraft:sand>, Sand
<minecraft:sandstone>, Sandstone
<minecraft:sandstone_stairs>, Sandstone Stairs
<minecraft:sapling>, Oak Sapling
<minecraft:shears>, Shears
<minecraft:sign>, Sign
<minecraft:skull>, Skeleton Skull
<minecraft:slime_ball>, Slimeball
<minecraft:snow>, Snow
<minecraft:snow_layer>, Snow
<minecraft:snowball>, Snowball
<minecraft:soul_sand>, Soul Sand
<minecraft:spawn_egg>, Spawn
<minecraft:speckled_melon>, Glistering Melon
<minecraft:spider_eye>, Spider Eye
<minecraft:sponge>, Sponge
<minecraft:spruce_stairs>, Spruce Wood Stairs
<minecraft:stained_glass>, White Stained Glass
<minecraft:stained_glass_pane>, White Stained Glass Pane
<minecraft:stained_hardened_clay>, White Stained Clay
<minecraft:stick>, Stick
<minecraft:sticky_piston>, Sticky Piston
<minecraft:stone>, Stone
<minecraft:stone_axe>, Stone Axe
<minecraft:stone_brick_stairs>, Stone Brick Stairs
<minecraft:stone_button>, Button
<minecraft:stone_hoe>, Stone Hoe
<minecraft:stone_pickaxe>, Stone Pickaxe
<minecraft:stone_pressure_plate>, Pressure Plate
<minecraft:stone_shovel>, Stone Shovel
<minecraft:stone_slab>, Stone Slab
<minecraft:stone_stairs>, Stone Stairs
<minecraft:stone_sword>, Stone Sword
<minecraft:stonebrick>, Stone Bricks
<minecraft:string>, String
<minecraft:sugar>, Sugar
<minecraft:tallgrass>, Shrub
<minecraft:tnt>, TNT
<minecraft:tnt_minecart>, Minecart with TNT
<minecraft:torch>, Torch
<minecraft:trapdoor>, Trapdoor
<minecraft:trapped_chest>, Trapped Chest
<minecraft:tripwire_hook>, Tripwire Hook
<minecraft:vine>, Vines
<minecraft:water>, Water
<minecraft:water_bucket>, Water Bucket
<minecraft:waterlily>, Lily Pad
<minecraft:web>, Cobweb
<minecraft:wheat>, Wheat
<minecraft:wheat_seeds>, Seeds
<minecraft:wooden_axe>, Wooden Axe
<minecraft:wooden_button>, Button
<minecraft:wooden_door>, Wooden Door
<minecraft:wooden_hoe>, Wooden Hoe
<minecraft:wooden_pickaxe>, Wooden Pickaxe
<minecraft:wooden_pressure_plate>, Pressure Plate
<minecraft:wooden_shovel>, Wooden Shovel
<minecraft:wooden_slab>, Oak Wood Slab
<minecraft:wooden_sword>, Wooden Sword
<minecraft:wool>, Wool
<minecraft:writable_book>, Book and Quill
<minecraft:written_book>, Written Book
<minecraft:yellow_flower>, Dandelion
<terrafirmacraftplus:Anvil>, Stone Anvil
<terrafirmacraftplus:Anvil2>, Rose Gold Anvil
<terrafirmacraftplus:ArmourStand>, Oak Armor Stand
<terrafirmacraftplus:ArmourStand2>, Acacia Armor Stand
<terrafirmacraftplus:ArmourStand3>, Yew Armor Stand
<terrafirmacraftplus:Barrel>, Oak Barrel
<terrafirmacraftplus:Basket>, Basket
<terrafirmacraftplus:Bear Teepee>, Bear Fur Teepee
<terrafirmacraftplus:Beehive>, Basket Hive
<terrafirmacraftplus:Bellows>, Bellows
<terrafirmacraftplus:BerryBush>, Wintergreen Bush
<terrafirmacraftplus:BigDrum>, Drum
<terrafirmacraftplus:BlockInvisible>, tile.InvisibleBlock.name
<terrafirmacraftplus:Bloom>, Iron Bloom
<terrafirmacraftplus:Bloomery>, Blast Furnace
<terrafirmacraftplus:Bookshelf>, Bookshelf
<terrafirmacraftplus:BrainCoral>, Brain Coral
<terrafirmacraftplus:Branch2_XYZ>, Acacia Log
<terrafirmacraftplus:Branch2_XY_>, Acacia Log
<terrafirmacraftplus:Branch2_XYz>, Acacia Log
<terrafirmacraftplus:Branch2_X_Z>, Acacia Log
<terrafirmacraftplus:Branch2_X__>, Acacia Log
<terrafirmacraftplus:Branch2_X_z>, Acacia Log
<terrafirmacraftplus:Branch2_XyZ>, Acacia Log
<terrafirmacraftplus:Branch2_Xy_>, Acacia Log
<terrafirmacraftplus:Branch2_Xyz>, Acacia Log
<terrafirmacraftplus:Branch2__YZ>, Acacia Log
<terrafirmacraftplus:Branch2__Yz>, Acacia Log
<terrafirmacraftplus:Branch2___Z>, Acacia Log
<terrafirmacraftplus:Branch2___z>, Acacia Log
<terrafirmacraftplus:Branch2__yZ>, Acacia Log
<terrafirmacraftplus:Branch2__y_>, Acacia Log
<terrafirmacraftplus:Branch2__yz>, Acacia Log
<terrafirmacraftplus:Branch2_xYZ>, Acacia Log
<terrafirmacraftplus:Branch2_xY_>, Acacia Log
<terrafirmacraftplus:Branch2_xYz>, Acacia Log
<terrafirmacraftplus:Branch2_x_Z>, Acacia Log
<terrafirmacraftplus:Branch2_x__>, Acacia Log
<terrafirmacraftplus:Branch2_x_z>, Acacia Log
<terrafirmacraftplus:Branch2_xyZ>, Acacia Log
<terrafirmacraftplus:Branch2_xy_>, Acacia Log
<terrafirmacraftplus:Branch2_xyz>, Acacia Log
<terrafirmacraftplus:Branch3_XYZ>, Yew Log
<terrafirmacraftplus:Branch3_XY_>, Yew Log
<terrafirmacraftplus:Branch3_XYz>, Yew Log
<terrafirmacraftplus:Branch3_X_Z>, Yew Log
<terrafirmacraftplus:Branch3_X__>, Yew Log
<terrafirmacraftplus:Branch3_X_z>, Yew Log
<terrafirmacraftplus:Branch3_XyZ>, Yew Log
<terrafirmacraftplus:Branch3_Xy_>, Yew Log
<terrafirmacraftplus:Branch3_Xyz>, Yew Log
<terrafirmacraftplus:Branch3__YZ>, Yew Log
<terrafirmacraftplus:Branch3__Yz>, Yew Log
<terrafirmacraftplus:Branch3___Z>, Yew Log
<terrafirmacraftplus:Branch3___z>, Yew Log
<terrafirmacraftplus:Branch3__yZ>, Yew Log
<terrafirmacraftplus:Branch3__y_>, Yew Log
<terrafirmacraftplus:Branch3__yz>, Yew Log
<terrafirmacraftplus:Branch3_xYZ>, Yew Log
<terrafirmacraftplus:Branch3_xY_>, Yew Log
<terrafirmacraftplus:Branch3_xYz>, Yew Log
<terrafirmacraftplus:Branch3_x_Z>, Yew Log
<terrafirmacraftplus:Branch3_x__>, Yew Log
<terrafirmacraftplus:Branch3_x_z>, Yew Log
<terrafirmacraftplus:Branch3_xyZ>, Yew Log
<terrafirmacraftplus:Branch3_xy_>, Yew Log
<terrafirmacraftplus:Branch3_xyz>, Yew Log
<terrafirmacraftplus:BranchEnd2_XYZ>, Acacia Log
<terrafirmacraftplus:BranchEnd2_XY_>, Acacia Log
<terrafirmacraftplus:BranchEnd2_XYz>, Acacia Log
<terrafirmacraftplus:BranchEnd2_X_Z>, Acacia Log
<terrafirmacraftplus:BranchEnd2_X__>, Acacia Log
<terrafirmacraftplus:BranchEnd2_X_z>, Acacia Log
<terrafirmacraftplus:BranchEnd2_XyZ>, Acacia Log
<terrafirmacraftplus:BranchEnd2_Xy_>, Acacia Log
<terrafirmacraftplus:BranchEnd2_Xyz>, Acacia Log
<terrafirmacraftplus:BranchEnd2__YZ>, Acacia Log
<terrafirmacraftplus:BranchEnd2__Yz>, Acacia Log
<terrafirmacraftplus:BranchEnd2___Z>, Acacia Log
<terrafirmacraftplus:BranchEnd2___z>, Acacia Log
<terrafirmacraftplus:BranchEnd2__yZ>, Acacia Log
<terrafirmacraftplus:BranchEnd2__y_>, Acacia Log
<terrafirmacraftplus:BranchEnd2__yz>, Acacia Log
<terrafirmacraftplus:BranchEnd2_xYZ>, Acacia Log
<terrafirmacraftplus:BranchEnd2_xY_>, Acacia Log
<terrafirmacraftplus:BranchEnd2_xYz>, Acacia Log
<terrafirmacraftplus:BranchEnd2_x_Z>, Acacia Log
<terrafirmacraftplus:BranchEnd2_x__>, Acacia Log
<terrafirmacraftplus:BranchEnd2_x_z>, Acacia Log
<terrafirmacraftplus:BranchEnd2_xyZ>, Acacia Log
<terrafirmacraftplus:BranchEnd2_xy_>, Acacia Log
<terrafirmacraftplus:BranchEnd2_xyz>, Acacia Log
<terrafirmacraftplus:BranchEnd3_XYZ>, Yew Log
<terrafirmacraftplus:BranchEnd3_XY_>, Yew Log
<terrafirmacraftplus:BranchEnd3_XYz>, Yew Log
<terrafirmacraftplus:BranchEnd3_X_Z>, Yew Log
<terrafirmacraftplus:BranchEnd3_X__>, Yew Log
<terrafirmacraftplus:BranchEnd3_X_z>, Yew Log
<terrafirmacraftplus:BranchEnd3_XyZ>, Yew Log
<terrafirmacraftplus:BranchEnd3_Xy_>, Yew Log
<terrafirmacraftplus:BranchEnd3_Xyz>, Yew Log
<terrafirmacraftplus:BranchEnd3__YZ>, Yew Log
<terrafirmacraftplus:BranchEnd3__Yz>, Yew Log
<terrafirmacraftplus:BranchEnd3___Z>, Yew Log
<terrafirmacraftplus:BranchEnd3___z>, Yew Log
<terrafirmacraftplus:BranchEnd3__yZ>, Yew Log
<terrafirmacraftplus:BranchEnd3__y_>, Yew Log
<terrafirmacraftplus:BranchEnd3__yz>, Yew Log
<terrafirmacraftplus:BranchEnd3_xYZ>, Yew Log
<terrafirmacraftplus:BranchEnd3_xY_>, Yew Log
<terrafirmacraftplus:BranchEnd3_xYz>, Yew Log
<terrafirmacraftplus:BranchEnd3_x_Z>, Yew Log
<terrafirmacraftplus:BranchEnd3_x__>, Yew Log
<terrafirmacraftplus:BranchEnd3_x_z>, Yew Log
<terrafirmacraftplus:BranchEnd3_xyZ>, Yew Log
<terrafirmacraftplus:BranchEnd3_xy_>, Yew Log
<terrafirmacraftplus:BranchEnd3_xyz>, Yew Log
<terrafirmacraftplus:BranchEnd_XYZ>, Oak Log
<terrafirmacraftplus:BranchEnd_XY_>, Oak Log
<terrafirmacraftplus:BranchEnd_XYz>, Oak Log
<terrafirmacraftplus:BranchEnd_X_Z>, Oak Log
<terrafirmacraftplus:BranchEnd_X__>, Oak Log
<terrafirmacraftplus:BranchEnd_X_z>, Oak Log
<terrafirmacraftplus:BranchEnd_XyZ>, Oak Log
<terrafirmacraftplus:BranchEnd_Xy_>, Oak Log
<terrafirmacraftplus:BranchEnd_Xyz>, Oak Log
<terrafirmacraftplus:BranchEnd__YZ>, Oak Log
<terrafirmacraftplus:BranchEnd__Yz>, Oak Log
<terrafirmacraftplus:BranchEnd___Z>, Oak Log
<terrafirmacraftplus:BranchEnd___z>, Oak Log
<terrafirmacraftplus:BranchEnd__yZ>, Oak Log
<terrafirmacraftplus:BranchEnd__y_>, Oak Log
<terrafirmacraftplus:BranchEnd__yz>, Oak Log
<terrafirmacraftplus:BranchEnd_xYZ>, Oak Log
<terrafirmacraftplus:BranchEnd_xY_>, Oak Log
<terrafirmacraftplus:BranchEnd_xYz>, Oak Log
<terrafirmacraftplus:BranchEnd_x_Z>, Oak Log
<terrafirmacraftplus:BranchEnd_x__>, Oak Log
<terrafirmacraftplus:BranchEnd_x_z>, Oak Log
<terrafirmacraftplus:BranchEnd_xyZ>, Oak Log
<terrafirmacraftplus:BranchEnd_xy_>, Oak Log
<terrafirmacraftplus:BranchEnd_xyz>, Oak Log
<terrafirmacraftplus:Branch_XYZ>, Oak Log
<terrafirmacraftplus:Branch_XY_>, Oak Log
<terrafirmacraftplus:Branch_XYz>, Oak Log
<terrafirmacraftplus:Branch_X_Z>, Oak Log
<terrafirmacraftplus:Branch_X__>, Oak Log
<terrafirmacraftplus:Branch_X_z>, Oak Log
<terrafirmacraftplus:Branch_XyZ>, Oak Log
<terrafirmacraftplus:Branch_Xy_>, Oak Log
<terrafirmacraftplus:Branch_Xyz>, Oak Log
<terrafirmacraftplus:Branch__YZ>, Oak Log
<terrafirmacraftplus:Branch__Yz>, Oak Log
<terrafirmacraftplus:Branch___Z>, Oak Log
<terrafirmacraftplus:Branch___z>, Oak Log
<terrafirmacraftplus:Branch__yZ>, Oak Log
<terrafirmacraftplus:Branch__y_>, Oak Log
<terrafirmacraftplus:Branch__yz>, Oak Log
<terrafirmacraftplus:Branch_xYZ>, Oak Log
<terrafirmacraftplus:Branch_xY_>, Oak Log
<terrafirmacraftplus:Branch_xYz>, Oak Log
<terrafirmacraftplus:Branch_x_Z>, Oak Log
<terrafirmacraftplus:Branch_x__>, Oak Log
<terrafirmacraftplus:Branch_x_z>, Oak Log
<terrafirmacraftplus:Branch_xyZ>, Oak Log
<terrafirmacraftplus:Branch_xy_>, Oak Log
<terrafirmacraftplus:Branch_xyz>, Oak Log
<terrafirmacraftplus:Bricks>, Brick Block
<terrafirmacraftplus:ButtonWood>, Wooden Button
<terrafirmacraftplus:Cactus>, Cactus
<terrafirmacraftplus:Candle>, Lit Candle
<terrafirmacraftplus:CandleBrass>, Lit Brass Candlestick
<terrafirmacraftplus:CandleBrassOff>, Brass Candlestick
<terrafirmacraftplus:CandleGold>, Lit Gold Candlestick
<terrafirmacraftplus:CandleGoldOff>, Gold Candlestick
<terrafirmacraftplus:CandleOff>, Candle
<terrafirmacraftplus:CandlePewter>, Lit Pewter Candlestick
<terrafirmacraftplus:CandlePewterOff>, Pewter Candlestick
<terrafirmacraftplus:CandleRoseGold>, Lit Rose Gold Candlestick
<terrafirmacraftplus:CandleRoseGoldOff>, Rose Gold Candlestick
<terrafirmacraftplus:CandleSilver>, Lit Silver Candlestick
<terrafirmacraftplus:CandleSilverOff>, Silver Candlestick
<terrafirmacraftplus:CandleSterlingSilver>, Lit Sterling Silver Candlestick
<terrafirmacraftplus:CandleSterlingSilverOff>, Sterling Silver Candlestick
<terrafirmacraftplus:Charcoal>, Charcoal
<terrafirmacraftplus:Chest TFC>, Oak Chest
<terrafirmacraftplus:Clay>, Clay
<terrafirmacraftplus:Clay2>, Clay
<terrafirmacraftplus:ClayGrass>, Clay Grass
<terrafirmacraftplus:ClayGrass2>, Clay Grass
<terrafirmacraftplus:ClayPottery>, Pottery
<terrafirmacraftplus:CopperRoof>, Copper Roof
<terrafirmacraftplus:CopperRoofCenter>, Copper Roof Peak
<terrafirmacraftplus:Coracle>, Coracle Construction
<terrafirmacraftplus:Coracle0>, Unfinished Coracle
<terrafirmacraftplus:Coracle1>, Unfinished Coracle
<terrafirmacraftplus:Coracle2>, Unfinished Coracle
<terrafirmacraftplus:Coral>, Coral
<terrafirmacraftplus:Crops>, Crops
<terrafirmacraftplus:Crucible>, Crucible
<terrafirmacraftplus:Detailed>, Detailed
<terrafirmacraftplus:Dirt>, Dirt
<terrafirmacraftplus:Dirt2>, Dirt
<terrafirmacraftplus:DirtRoad>, Dirt Road
<terrafirmacraftplus:DoorAcacia>, Acacia Door
<terrafirmacraftplus:DoorAsh>, Ash Door
<terrafirmacraftplus:DoorAspen>, Aspen Door
<terrafirmacraftplus:DoorBamboo>, Bamboo Door
<terrafirmacraftplus:DoorBaobab>, Baobab Door
<terrafirmacraftplus:DoorBirch>, Birch Door
<terrafirmacraftplus:DoorChestnut>, Chestnut Door
<terrafirmacraftplus:DoorDouglasFir>, Douglas Fir Door
<terrafirmacraftplus:DoorEbony>, Ebony Door
<terrafirmacraftplus:DoorFever>, Fever Door
<terrafirmacraftplus:DoorFruitwood>, Fruitwood Door
<terrafirmacraftplus:DoorGhaf>, Ghaf Door
<terrafirmacraftplus:DoorGingko>, Gingko Door
<terrafirmacraftplus:DoorHickory>, Hickory Door
<terrafirmacraftplus:DoorJoshua>, Joshua Door
<terrafirmacraftplus:DoorKapok>, Kapok Door
<terrafirmacraftplus:DoorLaurel>, Laurel Door
<terrafirmacraftplus:DoorLimba>, Limba Door
<terrafirmacraftplus:DoorMahoe>, Mahoe Door
<terrafirmacraftplus:DoorMahogany>, Mahogany Door
<terrafirmacraftplus:DoorMangrove>, Mangrove Door
<terrafirmacraftplus:DoorMaple>, Maple Door
<terrafirmacraftplus:DoorOak>, Oak Door
<terrafirmacraftplus:DoorPalm>, Palm Door
<terrafirmacraftplus:DoorPine>, Pine Door
<terrafirmacraftplus:DoorSequoia>, Sequoia Door
<terrafirmacraftplus:DoorSpruce>, Spruce Door
<terrafirmacraftplus:DoorSycamore>, Sycamore Door
<terrafirmacraftplus:DoorTeak>, Teak Door
<terrafirmacraftplus:DoorWattle>, Wattle Door
<terrafirmacraftplus:DoorWhiteCedar>, White Cedar Door
<terrafirmacraftplus:DoorWhiteElm>, White Elm Door
